Alex Kim,,"Hi, I'm Alex Kim, a passionate CG artist with a focus on 3D modeling and texturing. My work is driven by a love for creating detailed, immersive environments and characters that bring stories to life. With experience in tools like Blender and Maya, I enjoy experimenting with new techniques and constantly pushing the boundaries of my creativity",안녕하세요. 저는 3D 모델링과 텍스쳐링을 중심으로 활동하는 열정적인 CG 아티스트 알렉스 김입니다. 내 작업은 이야기에 생명을 불어넣는 상세하고 몰입도 높은 환경과 캐릭터를 만드는 것에 대한 사랑에 의해 추진됩니다. Blender 및 Maya와 같은 도구에 대한 경험을 바탕으로 저는 새로운 기술을 실험하고 창의성의 한계를 끊임없이 확장하는 것을 즐깁니다.,"Maya, Blender, 3D modeling, texturing","마야, 블렌더, 3D 모델링, 텍스처링"
Emma Lee,,"Hello! I'm Emma Lee, a digital artist specializing in CG art for video games and films. From designing high-quality assets to creating cinematic scenes, I aim to blend technical precision with artistic vision to deliver captivating visuals. I've worked on projects like Avata and my goal is always to elevate the visual experience",안녕하세요! 저는 비디오 게임과 영화의 CG 아트를 전문으로 하는 디지털 아티스트 Emma Lee입니다. 고품질 에셋 디자인부터 영화 같은 장면 제작에 이르기까지 저는 기술적 정확성과 예술적 비전을 결합하여 매력적인 비주얼을 제공하는 것을 목표로 합니다. 저는 Avata와 같은 프로젝트에 참여해 왔으며 제 목표는 항상 시각적 경험을 향상시키는 것입니다.,"video games, films","비디오 게임, 영화"
Jason Carter,,"I'm Jason Carter, a CG generalist with expertise in 3D animation, visual effects, and digital sculpting. I love diving into the technical and artistic aspects of CG, using tools like ZBrush and Houdini to create stunning animations and detailed characters. My work reflects a deep appreciation for storytelling through visuals","저는 3D 애니메이션, 시각 효과, 디지털 조각 분야의 전문 지식을 갖춘 CG 종합 전문가인 Jason Carter입니다. 저는 ZBrush 및 Houdini와 같은 도구를 사용하여 멋진 애니메이션과 섬세한 캐릭터를 만드는 등 CG의 기술적, 예술적 측면을 탐구하는 것을 좋아합니다. 내 작품은 시각적인 스토리텔링에 대한 깊은 감사를 반영합니다.","3D animation, visual effects, digital sculpting","3D 애니메이션, 시각 효과, 디지털 조각"
Isabella Chen,,"Hi, I'm Isabella Chen, a CG artist with a background in architectural visualization and environmental design. My focus is on creating photorealistic 3D models and scenes that capture both artistic and technical beauty. Using software like 3ds Max and Unreal Engine, I specialize in bringing architectural designs to life","안녕하세요. 저는 건축 시각화 및 환경 디자인을 전공한 CG 아티스트 Isabella Chen입니다. 저는 예술적, 기술적 아름다움을 모두 포착하는 사실적인 3D 모델과 장면을 만드는 데 중점을 두고 있습니다. 저는 3ds Max 및 Unreal Engine과 같은 소프트웨어를 사용하여 건축 디자인에 생명을 불어넣는 일을 전문으로 합니다.","architectual visualization, environment design","건축 시각화, 환경 디자인"
David Wilson,,"Hello, I'm David Wilson, a CG artist focused on character design and animation. Bringing characters from concept to completion is my passion, whether for games, film, or VR experiences. I specialize in modeling, rigging, and animation using tools like Maya and Substance Painter","안녕하세요. 저는 캐릭터 디자인과 애니메이션을 전문으로 하는 CG 아티스트 데이비드 윌슨입니다. 게임, 영화, VR 경험 등 어떤 분야에서든 캐릭터를 컨셉에서 완성까지 가져오는 것이 저의 열정입니다. 저는 Maya 및 Substance Painter와 같은 도구를 사용한 모델링, 리깅 및 애니메이션을 전문으로 합니다.","character design, character animation","캐릭터 디자인, 캐릭터 애니메이션"
Olivia Martinez,,"Hey there! I'm Olivia Martinez, a 3D and CG artist with a focus on visual storytelling. I create compelling characters and environments, blending artistic design with technical expertise. My background in both 3D modeling and visual effects allows me to work across various industries, from gaming to animation",안녕하세요! 저는 시각적 스토리텔링에 중점을 두고 있는 3D 및 CG 아티스트 올리비아 마르티네즈입니다. 저는 예술적 디자인과 기술적 전문성을 결합하여 매력적인 캐릭터와 환경을 만듭니다. 3D 모델링과 시각 효과에 대한 배경 지식을 바탕으로 게임에서 애니메이션까지 다양한 산업 분야에서 일할 수 있습니다.,"visual storytelling, 3D modeling, visual effects","비주얼 스토리텔링, 3D 모델링, 시각효과"
Michael Johnson,,"Hi, I'm Michael Johnson, a CG artist with a love for VFX and motion graphics. My specialty lies in creating dynamic effects and animations for film and advertising. I love experimenting with different tools like After Effects and Cinema 4D to deliver eye-catching visuals that leave a lasting impression",안녕하세요. 저는 VFX와 모션 그래픽을 사랑하는 CG 아티스트 마이클 존슨입니다. 제 전문 분야는 영화와 광고를 위한 역동적인 효과와 애니메이션을 만드는 것입니다. 저는 After Effects 및 Cinema 4D와 같은 다양한 도구를 실험하여 지속적인 인상을 남기는 눈길을 사로잡는 비주얼을 제공하는 것을 좋아합니다.,"VFX, motion graphics, after effects, cinema 4d","VFX, 모션 그래픽, 애프터 이펙트, 시네마 4D"
Sophia Ramirez,,"Hello! My name is Sophia Ramirez, and I specialize in photorealistic rendering and lighting as a CG artist. I bring a high level of detail and realism to my work, whether it’s creating stunning product visualizations or architectural renderings. My technical skills and artistic eye allow me to craft visuals that stand out","안녕하세요! 제 이름은 Sophia Ramirez이고 CG 아티스트로서 사실적인 렌더링과 조명을 전문으로 하고 있습니다. 나는 놀라운 제품 시각화를 만들든, 건축 렌더링을 만들든 내 작업에 높은 수준의 디테일과 사실성을 부여합니다. 나의 기술력과 예술적인 안목으로 눈에 띄는 영상을 만들 수 있습니다.","photorealistic rendering, lighting","사실적인 렌더링, 조명"
Ethan Park,,"I'm Ethan Park, a CG artist passionate about creating immersive 3D environments and props for games and films. From concept art to the final rendered product, I love taking ideas and turning them into digital realities. I have a strong grasp of texturing, lighting, and rendering in software like Unity and Blender","저는 게임과 영화를 위한 몰입형 3D 환경과 소품 제작에 열정을 갖고 있는 CG 아티스트 Ethan Park입니다. 컨셉 아트부터 최종 렌더링 제품까지 저는 아이디어를 디지털 현실로 바꾸는 것을 좋아합니다. Unity 및 Blender와 같은 소프트웨어의 텍스처링, 조명 및 렌더링을 잘 이해하고 있습니다.","texturing, lighting, rendering, immersive 3D","텍스처링, 조명, 렌더링, 몰입형 3D"
Mia Patel,,"Hey, I'm Mia Patel, a versatile CG artist skilled in 3D animation, rigging, and compositing. My work often revolves around creating high-quality characters and animations for both short films and commercials. I enjoy collaborating with creative teams to bring visually engaging ideas to life","안녕하세요. 저는 3D 애니메이션, 리깅, 합성에 능숙한 다재다능한 CG 아티스트 Mia Patel입니다. 내 작업은 종종 단편 영화와 광고 모두를 위한 고품질 캐릭터와 애니메이션을 만드는 데 중점을 두고 있습니다. 나는 창의적인 팀과 협력하여 시각적으로 흥미로운 아이디어를 현실로 만드는 것을 좋아합니다.","3D animation, rigging, compositing","3D 애니메이션, 리깅, 합성"
